step	loss
0	1.0337436199188232
1	0.8800545930862427
2	0.598588764667511
3	0.4638313353061676
4	0.4026597738265991
5	0.32384753227233887
6	0.29603055119514465
7	0.2512666583061218
8	0.1727672815322876
9	0.20273296535015106
10	0.18541818857192993
11	0.12761324644088745
12	0.12661345303058624
13	0.39052918553352356
14	0.1651325821876526
15	0.18263989686965942
16	0.154873326420784
17	0.15413212776184082
18	0.10117245465517044
19	0.11805719882249832
20	0.1421181857585907
21	0.08733323961496353
22	0.2839747667312622
23	0.2589819133281708
24	0.14884181320667267
25	0.13023971021175385
26	0.1412670761346817
27	0.08549805730581284
28	0.13053478300571442
29	0.09733346849679947
